excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
04/2019;HRJP;2019,0;4,0;VIII;> 34;85,0;0,0;0,0;0,0
04/2019;MOV;2019,0;4,0;I;0 a 4;4,0;0,0;0,0;0,0
04/2019;MOV;2019,0;4,0;II;5 a 9;8,0;0,0;0,0;0,0
04/2019;MOV;2019,0;4,0;III;10 a 14;15,0;0,0;0,0;0,0
04/2019;MOV;2019,0;4,0;IV;15 a 19;25,0;0,0;0,0;0,0
04/2019;MOV;2019,0;4,0;V;20 a 24;40,0;0,0;0,0;0,0
04/2019;MOV;2019,0;4,0;VI;25 a 29;55,0;0,0;0,0;0,0
04/2019;MOV;2019,0;4,0;VII;30 a 34;75,0;0,0;0,0;0,0
04/2019;MOV;2019,0;4,0;VIII;> 34;85,0;0,0;0,0;0,0
05/2019;HAC;2019,0;5,0;I;0 a 4;4,0;1,0;0,04;0,0
05/2019;HAC;2019,0;5,0;II;5 a 9;8,0;5,0;0,4;0,0
05/2019;HAC;2019,0;5,0;III;10 a 14;15,0;16,0;2,4;1,0
05/2019;HAC;2019,0;5,0;IV;15 a 19;25,0;4,0;1,0;2,0
05/2019;HAC;2019,0;5,0;V;20 a 24;40,0;4,0;1,6;4,0
05/2019;HAC;2019,0;5,0;VI;25 a 29;55,0;2,0;1,1;2,0
05/2019;HAC;2019,0;5,0;VII;30 a 34;75,0;0,0;0,0;0,0
05/2019;HAC;2019,0;5,0;VIII;> 34;85,0;1,0;0,85;0,0
05/2019;HEM;2019,0;5,0;I;0 a 4;4,0;0,0;0,0;0,0
05/2019;HEM;2019,0;5,0;II;5 a 9;8,0;3,0;0,24;0,0
05/2019;HEM;2019,0;5,0;III;10 a 14;15,0;11,0;1,65;1,0
05/2019;HEM;2019,0;5,0;IV;15 a 19;25,0;7,0;1,75;0,0
05/2019;HEM;2019,0;5,0;V;20 a 24;40,0;8,0;3,2;1,0
05/2019;HEM;2019,0;5,0;VI;25 a 29;55,0;5,0;2,75;2,0
05/2019;HEM;2019,0;5,0;VII;30 a 34;75,0;2,0;1,5;1,0
05/2019;HEM;2019,0;5,0;VIII;> 34;85,0;2,0;1,7;2,0
05/2019;HJK;2019,0;5,0;I;0 a 4;4,0;112,0;4,5;8,0
05/2019;HJK;2019,0;5,0;II;5 a 9;8,0;223,0;17,86;23,0
05/2019;HJK;2019,0;5,0;III;10 a 14;15,0;279,0;42,0;16,0
05/2019;HJK;2019,0;5,0;IV;15 a 19;25,0;266,0;66,6;33,0
05/2019;HJK;2019,0;5,0;V;20 a 24;40,0;165,0;66,0;34,0
05/2019;HJK;2019,0;5,0;VI;25 a 29;55,0;86,0;47,4;28,0
05/2019;HJK;2019,0;5,0;VII;30 a 34;75,0;43,0;32,35;20,0
05/2019;HJK;2019,0;5,0;VIII;> 34;85,0;20,0;17,1;15,0
05/2019;HJXXIII;2019,0;5,0;I;0 a 4;4,0;9,0;0,36;2,0
05/2019;HJXXIII;2019,0;5,0;II;5 a 9;8,0;9,0;0,72;0,0
05/2019;HJXXIII;2019,0;5,0;III;10 a 14;15,0;36,0;5,4;3,0
05/2019;HJXXIII;2019,0;5,0;IV;15 a 19;25,0;31,0;7,75;8,0
05/2019;HJXXIII;2019,0;5,0;V;20 a 24;40,0;22,0;8,8;9,0
05/2019;HJXXIII;2019,0;5,0;VI;25 a 29;55,0;11,0;6,05;8,0
05/2019;HJXXIII;2019,0;5,0;VII;30 a 34;75,0;3,0;2,25;2,0
05/2019;HJXXIII;2019,0;5,0;VIII;> 34;85,0;1,0;0,85;1,0
05/2019;HRAD;2019,0;5,0;I;0 a 4;4,0;1,0;0,04;0,0
05/2019;HRAD;2019,0;5,0;II;5 a 9;8,0;11,0;0,8800000000000001;0,0
05/2019;HRAD;2019,0;5,0;III;10 a 14;15,0;20,0;3,0;1,0
05/2019;HRAD;2019,0;5,0;IV;15 a 19;25,0;11,0;2,75;2,0
05/2019;HRAD;2019,0;5,0;V;20 a 24;40,0;8,0;3,2;2,0
05/2019;HRAD;2019,0;5,0;VI;25 a 29;55,0;4,0;2,2;2,0
05/2019;HRAD;2019,0;5,0;VII;30 a 34;75,0;2,0;1,5;0,0
05/2019;HRAD;2019,0;5,0;VIII;> 34;85,0;1,0;0,85;0,0
05/2019;HRBJA;2019,0;5,0;I;0 a 4;4,0;0,0;0,0;0,0
05/2019;HRBJA;2019,0;5,0;II;5 a 9;8,0;0,0;0,0;0,0
05/2019;HRBJA;2019,0;5,0;III;10 a 14;15,0;0,0;0,0;0,0
05/2019;HRBJA;2019,0;5,0;IV;15 a 19;25,0;0,0;0,0;0,0
05/2019;HRBJA;2019,0;5,0;V;20 a 24;40,0;0,0;0,0;0,0
05/2019;HRBJA;2019,0;5,0;VI;25 a 29;55,0;0,0;0,0;0,0
05/2019;HRBJA;2019,0;5,0;VII;30 a 34;75,0;0,0;0,0;0,0
05/2019;HRBJA;2019,0;5,0;VIII;> 34;85,0;0,0;0,0;0,0
05/2019;HRJP;2019,0;5,0;I;0 a 4;4,0;0,0;0,0;0,0
05/2019;HRJP;2019,0;5,0;II;5 a 9;8,0;6,0;0,48;0,0
05/2019;HRJP;2019,0;5,0;III;10 a 14;15,0;10,0;1,5;0,0
05/2019;HRJP;2019,0;5,0;IV;15 a 19;25,0;11,0;2,75;1,0
05/2019;HRJP;2019,0;5,0;V;20 a 24;40,0;1,0;0,4;1,0
05/2019;HRJP;2019,0;5,0;VI;25 a 29;55,0;0,0;0,0;0,0
05/2019;HRJP;2019,0;5,0;VII;30 a 34;75,0;0,0;0,0;0,0
05/2019;HRJP;2019,0;5,0;VIII;> 34;85,0;0,0;0,0;0,0
05/2019;MOV;2019,0;5,0;I;0 a 4;4,0;0,0;0,0;0,0
05/2019;MOV;2019,0;5,0;II;5 a 9;8,0;0,0;0,0;0,0
05/2019;MOV;2019,0;5,0;III;10 a 14;15,0;0,0;0,0;0,0
05/2019;MOV;2019,0;5,0;IV;15 a 19;25,0;0,0;0,0;0,0
05/2019;MOV;2019,0;5,0;V;20 a 24;40,0;0,0;0,0;0,0
